epoch,speaker_utterance,ground_truth
83,<sos> green ellipse ellipse green green ellipse ellipse ellipse <eos>,<sos> circle <eos>
83,<sos> white white white white white white white white <eos>,<sos> circle <eos>
83,<sos> yellow yellow yellow ellipse yellow yellow yellow yellow <eos>,<sos> yellow square <eos>
83,<sos> ellipse yellow yellow yellow ellipse yellow yellow ellipse <eos>,<sos> square <eos>
83,<sos> yellow yellow green yellow green yellow yellow yellow <eos>,<sos> green shape <eos>
83,<sos> gray gray gray gray gray gray gray gray <eos>,<sos> gray shape <eos>
83,<sos> red red red red red red red red <eos>,<sos> ellipse <eos>
83,<sos> red red red red red red red red <eos>,<sos> red shape <eos>
83,<sos> yellow yellow yellow yellow yellow yellow yellow white <eos>,<sos> yellow shape <eos>
83,<sos> ellipse white ellipse <UNK> white ellipse <UNK> ellipse <eos>,<sos> circle <eos>
83,<sos> white white blue white <UNK> <UNK> blue blue <eos>,<sos> blue shape <eos>
83,<sos> blue blue blue blue blue blue blue blue <eos>,<sos> circle <eos>
83,<sos> green green green green green green ellipse green <eos>,<sos> green shape <eos>
83,<sos> white white white gray gray gray gray gray <eos>,<sos> circle <eos>
83,<sos> gray ellipse gray gray gray gray gray gray <eos>,<sos> square <eos>
83,<sos> white white white white white white white white <eos>,<sos> rectangle <eos>
83,<sos> white white white white white white white white <eos>,<sos> white shape <eos>
83,<sos> ellipse ellipse ellipse ellipse ellipse ellipse ellipse yellow <eos>,<sos> ellipse <eos>
83,<sos> rectangle white rectangle gray rectangle gray gray gray <eos>,<sos> circle <eos>
83,<sos> white circle circle circle circle circle circle circle <eos>,<sos> circle <eos>
83,<sos> yellow yellow yellow yellow yellow yellow yellow yellow <eos>,<sos> yellow shape <eos>
83,<sos> red yellow red red red red red red <eos>,<sos> red shape <eos>
83,<sos> ellipse gray gray white gray gray gray gray <eos>,<sos> gray shape <eos>
83,<sos> ellipse yellow ellipse ellipse yellow ellipse ellipse ellipse <eos>,<sos> yellow shape <eos>
83,<sos> white white white white white white white white <eos>,<sos> rectangle <eos>
83,<sos> white white white white white white white ellipse <eos>,<sos> square <eos>
83,<sos> green green green blue gray green blue green <eos>,<sos> rectangle <eos>
83,<sos> ellipse ellipse <UNK> ellipse ellipse <UNK> ellipse <UNK> <eos>,<sos> ellipse <eos>
83,<sos> green green green green green green yellow green <eos>,<sos> green shape <eos>
83,<sos> rectangle rectangle rectangle gray gray rectangle gray rectangle <eos>,<sos> rectangle <eos>
83,<sos> ellipse white white ellipse white white <UNK> white <eos>,<sos> white shape <eos>
83,<sos> green yellow green green yellow green gray green <eos>,<sos> square <eos>
