epoch,speaker_utterance,ground_truth
15,<sos> ellipse ellipse square white white white circle circle <eos>,<sos> yellow shape <eos>
15,<sos> ellipse white white gray gray gray gray gray <eos>,<sos> ellipse <eos>
15,<sos> ellipse white white white white white white white <eos>,<sos> ellipse <eos>
15,<sos> white white white white white white white white <eos>,<sos> circle <eos>
15,<sos> green green green green green green green green <eos>,<sos> green shape <eos>
15,<sos> blue blue circle circle circle circle blue circle <eos>,<sos> blue shape <eos>
15,<sos> red red red red red red red red <eos>,<sos> yellow circle <eos>
15,<sos> green green green green green green green green <eos>,<sos> ellipse <eos>
15,<sos> white ellipse white ellipse white ellipse ellipse white <eos>,<sos> square <eos>
15,<sos> blue blue blue blue blue blue blue blue <eos>,<sos> ellipse <eos>
15,<sos> red red red red red red red red <eos>,<sos> rectangle <eos>
15,<sos> red red red red red red red red <eos>,<sos> ellipse <eos>
15,<sos> green green green green green green gray green <eos>,<sos> rectangle <eos>
15,<sos> green green green green gray green green green <eos>,<sos> gray shape <eos>
15,<sos> green green green blue green <eos>,<sos> green ellipse <eos>
15,<sos> square square square square square rectangle square rectangle <eos>,<sos> rectangle <eos>
15,<sos> circle gray circle gray gray gray gray gray <eos>,<sos> circle <eos>
15,<sos> circle circle circle circle circle circle ellipse red <eos>,<sos> square <eos>
15,<sos> ellipse white white white white white white ellipse <eos>,<sos> gray shape <eos>
15,<sos> green green green green green green green green <eos>,<sos> green shape <eos>
15,<sos> ellipse gray gray gray gray gray gray gray <eos>,<sos> circle <eos>
15,<sos> white white gray gray gray gray gray circle <eos>,<sos> gray shape <eos>
15,<sos> red red red rectangle red rectangle rectangle square <eos>,<sos> red shape <eos>
15,<sos> circle circle circle circle circle circle circle circle <eos>,<sos> white rectangle <eos>
15,<sos> white white white white white white white white <eos>,<sos> white shape <eos>
15,<sos> ellipse ellipse ellipse ellipse ellipse ellipse circle ellipse <eos>,<sos> yellow shape <eos>
15,<sos> blue blue blue blue square blue blue blue <eos>,<sos> blue shape <eos>
15,<sos> ellipse ellipse white white circle ellipse white white <eos>,<sos> circle <eos>
15,<sos> yellow circle circle blue circle circle blue circle <eos>,<sos> rectangle <eos>
15,<sos> white white white white white white white white <eos>,<sos> white shape <eos>
15,<sos> white ellipse white ellipse white ellipse ellipse ellipse <eos>,<sos> white shape <eos>
15,<sos> gray ellipse gray gray ellipse gray gray gray <eos>,<sos> gray shape <eos>
