epoch,speaker_utterance,ground_truth
3,<sos> green green green green green green green green <eos>,<sos> green shape <eos>
3,<sos> white white white white white white white white <eos>,<sos> ellipse <eos>
3,<sos> <UNK> white <UNK> white white white white white <eos>,<sos> circle <eos>
3,<sos> <UNK> green green green green green green green <eos>,<sos> rectangle <eos>
3,<sos> green green green green green gray green gray <eos>,<sos> yellow shape <eos>
3,<sos> white <UNK> square square red <UNK> <UNK> <UNK> <eos>,<sos> square <eos>
3,<sos> <sos> white white white white ellipse white white <eos>,<sos> red shape <eos>
3,<sos> white white white white white <UNK> white white <eos>,<sos> blue shape <eos>
3,<sos> green green green green green green green green <eos>,<sos> circle <eos>
3,<sos> red green green green ellipse green green green <eos>,<sos> circle <eos>
3,<sos> white white white white white ellipse white white <eos>,<sos> white shape <eos>
3,<sos> white white white white white white white white <eos>,<sos> white shape <eos>
3,<sos> white white white white white white white white <eos>,<sos> square <eos>
3,<sos> <UNK> <UNK> square white white white <UNK> white <eos>,<sos> yellow shape <eos>
3,<sos> <UNK> white <UNK> white white white white white <eos>,<sos> rectangle <eos>
3,<sos> green green green green green green green green <eos>,<sos> green shape <eos>
3,<sos> red green green green green green green square <eos>,<sos> rectangle <eos>
3,<sos> white green white green green green green green <eos>,<sos> yellow shape <eos>
3,<sos> <UNK> white red <UNK> <UNK> <UNK> white white <eos>,<sos> rectangle <eos>
3,<sos> white <UNK> white square square red <UNK> white <eos>,<sos> circle <eos>
3,<sos> green green green green green green green green <eos>,<sos> square <eos>
3,<sos> green green green green green green green green <eos>,<sos> square <eos>
3,<sos> <UNK> <UNK> green <UNK> green green green green <eos>,<sos> square <eos>
3,<sos> white white white white white white white white <eos>,<sos> circle <eos>
3,<sos> white square square white square white white white <eos>,<sos> square <eos>
3,<sos> <UNK> green green green green green green green <eos>,<sos> rectangle <eos>
3,<sos> white red red <UNK> white <UNK> red white <eos>,<sos> red shape <eos>
3,<sos> green green green <UNK> green green green <UNK> <eos>,<sos> red shape <eos>
3,<sos> green green green green green green green green <eos>,<sos> rectangle <eos>
3,<sos> <UNK> green green <UNK> green red gray red <eos>,<sos> rectangle <eos>
3,<sos> white <UNK> white <UNK> <UNK> <UNK> <UNK> red <eos>,<sos> square <eos>
3,<sos> <UNK> white green <UNK> green green rectangle <UNK> <eos>,<sos> ellipse <eos>
