epoch,speaker_utterance,ground_truth
4,<sos> red red red red red red rectangle red <eos>,<sos> gray ellipse <eos>
4,<sos> white white white white white rectangle white white <eos>,<sos> circle <eos>
4,<sos> red red red white red red <eos>,<sos> blue shape <eos>
4,<sos> green green green green rectangle green green green <eos>,<sos> square <eos>
4,<sos> green red white red red ellipse <UNK> ellipse <eos>,<sos> blue shape <eos>
4,<sos> gray green green green green green gray <eos>,<sos> green ellipse <eos>
4,<sos> white red white white white white ellipse red <eos>,<sos> yellow shape <eos>
4,<sos> green green green green green green green green <eos>,<sos> green shape <eos>
4,<sos> ellipse ellipse red ellipse ellipse ellipse red red <eos>,<sos> circle <eos>
4,<sos> white white gray gray white white rectangle white <eos>,<sos> rectangle <eos>
4,<sos> ellipse white ellipse ellipse ellipse white red red <eos>,<sos> gray shape <eos>
4,<sos> red red red red red red ellipse red <eos>,<sos> blue shape <eos>
4,<sos> ellipse ellipse ellipse ellipse ellipse ellipse ellipse ellipse <eos>,<sos> white shape <eos>
4,<sos> white ellipse ellipse white white ellipse ellipse white <eos>,<sos> white shape <eos>
4,<sos> green green green green green green green green <eos>,<sos> rectangle <eos>
4,<sos> ellipse white white white ellipse ellipse ellipse ellipse <eos>,<sos> gray shape <eos>
4,<sos> green green green green green green green green <eos>,<sos> green shape <eos>
4,<sos> square white red square,<sos> rectangle <eos>
4,<sos> gray <UNK> red square gray rectangle rectangle red <eos>,<sos> red square <eos>
4,<sos> white white white white white white white white <eos>,<sos> circle <eos>
4,<sos> white square white red white square square white <eos>,<sos> gray shape <eos>
4,<sos> red red red red red red red red <eos>,<sos> circle <eos>
4,<sos> white white white white white rectangle white white <eos>,<sos> yellow shape <eos>
4,<sos> gray green green green gray square rectangle <UNK> <eos>,<sos> circle <eos>
4,<sos> red red red red red red red red <eos>,<sos> red shape <eos>
4,<sos> green green green green green green green green <eos>,<sos> green shape <eos>
4,<sos> ellipse white ellipse ellipse white ellipse white white <eos>,<sos> rectangle <eos>
4,<sos> green green green green red green green green <eos>,<sos> gray shape <eos>
4,<sos> red red red red red red red red <eos>,<sos> square <eos>
4,<sos> ellipse red white white ellipse ellipse ellipse square <eos>,<sos> circle <eos>
4,<sos> white ellipse white white ellipse ellipse ellipse white <eos>,<sos> white shape <eos>
4,<sos> square white red red red red red red <eos>,<sos> yellow shape <eos>
